species,scale,CNDD,HNDDad,HNDDsap,r,n,ant.plant
CUPAAC,5,-4.939647366,0.00578206,0.002885583,2.769069055,1081,n
CUPACU,5,-4.935290577,-0.007014162,0.045537034,2.417120273,144,n
CUPAMA,5,-4.625794463,0.008828501,0.008218795,2.657366115,412,n
CYATOB,5,-6.499143502,0.013003814,-0.001097866,2.892496448,191,n
CYATPO,5,-5.939555374,0.006831917,0.007205823,2.83115878,267,n
DECARH,5,-6.866935406,-0.007523503,-0.003326629,3.081770774,192,n
DENDLO,5,-3.915831569,-0.041073333,0.01507687,3.001136242,375,n
DICTOB,5,-4.859038865,-0.011952973,-5.87E-05,2.878834382,264,n
DIOSEL,5,-3.759205451,0.010079711,0.002915404,2.610300665,215,n
DIOSFO,5,-2.957639068,0.007320864,-0.00109516,2.632012627,293,n
DIOSPE,5,-5.103635486,-0.001672997,0.002436109,2.830869887,415,n
DRACAN,5,-1.795743798,0.019936097,-0.013902605,2.157576116,3800,n
DRACDA,5,-6.64454046,-0.008402875,0.005969948,3.039541206,469,n
DRACLE,5,-5.928064419,-0.007871085,-0.002416741,3.042697438,396,n
DRYPLA,5,-4.358021433,0.001493179,0.009947283,2.629856046,313,s
DRYPOB,5,-3.375379327,0.003409883,0.004881872,2.684123864,536,s
DYSOAB,5,-3.697732935,0.011760763,0.014406939,2.684694965,4905,n
DYSOAC,5,-6.98491844,-0.016807863,-0.003153445,3.140503938,91,n
DYSOAH,5,-5.60426253,-0.000711377,-0.00588963,3.034539387,267,n
DYSOAL,5,-4.900710002,0.0057847,0.001720228,2.832948366,994,n
DYSOAN,5,-5.855742912,-0.010059664,0.008226275,2.89124088,95,n
DYSOAR,5,-5.15573498,0.004153637,0.007723043,2.871501165,871,n
DYSOAT,5,-6.907675639,-0.017852341,0.007143715,3.061135458,122,n
DYSOBR,5,-5.039792482,0.000576652,-0.002500376,2.875752811,142,w
DYSOMI,5,-5.264085941,-0.003747837,0.00550872,2.94358934,1157,n
DYSOMO,5,-4.356538416,-0.044561535,0.014431062,2.925791529,143,w
DYSOMY,5,-4.403086775,0.009350401,0.008550482,2.690258099,3465,w
DYSOPA,5,-4.856961882,0.003548182,0.003843453,2.809504236,132,w
DYSOPE,5,-5.024949952,-0.005272075,0.005180044,2.891306307,502,w
DYSORI,5,-4.335758774,0.008390118,-0.000801395,2.81754074,1312,n
DYSOSE,5,-5.029475465,0.011834107,0.00543553,2.810086479,611,n
ELAEAM,5,-5.190417534,-0.020494327,0.013051576,2.937426724,370,n
ELAEMI,5,-4.264434873,0.00821417,-0.002332566,2.803275588,268,n
ELAESP,5,-5.531467682,-0.067302749,-7.73E-05,3.255833141,63,n
ELAEUN,5,-4.545456377,0.00017092,-0.003423995,2.859718808,377,n
ENDIDI,5,-4.970802755,-0.00860092,0.001648013,2.951001239,199,n
ENDISQ,5,-4.050647156,-0.016140133,0.034950521,2.504315433,75,s
ENDOLA,5,-6.06243762,-0.001398593,0.002547612,2.93359245,146,s
ENDOMA,5,-5.177002964,0.003255621,0.000304411,2.887833555,824,n
ERYTCA,5,-4.87899455,0.002069626,0.00452065,2.912777951,2930,w
FICUAD,5,-4.117257489,0.038085743,-0.008243017,2.67149946,133,n
FICUAL,5,-4.575721343,-0.003288834,0.000981614,2.854922345,1200,n
FICUAR,5,-4.606863159,-0.014161606,-0.004926267,2.980478281,551,n
FICUAU,5,-3.547081554,0.003256047,0.005783554,2.697704402,1431,n
FICUBA,5,-2.314045817,-0.009533133,0.005551535,2.604819171,4490,n
FICUBE,5,-0.932458799,-0.048020375,0.018480151,1.421136865,6948,n
FICUBO,5,-3.668134204,-0.016260651,0.000420738,2.885021781,153,n
FICUCG,5,-4.029499871,-0.015847699,0.007561732,2.911952351,175,n
FICUCO,5,-1.022265166,-0.093985021,0.023048221,1.722059375,2702,n
FICUCP,5,-4.506937859,-0.064715152,0.011093399,3.136020924,162,n
FICUER,5,-4.504924605,0.009737544,-0.003890191,2.908336737,661,n
FICUGU,5,-3.798075129,-0.010212617,0.008772367,2.807683714,505,n
FICUHO,5,-4.397177274,-0.014291562,0.029865167,2.729306918,343,n
FICUME,5,-5.134412424,0.046759937,-0.011736196,2.781433725,155,n
FICUMO,5,-5.230745537,0.016099148,0.014202385,2.712510336,165,n
FICUNO,5,-7.36022103,0.005306732,-0.006048837,3.19723037,249,n
FICUPA,5,-3.797551379,-0.086471101,-0.004059323,3.31714797,72,n
FICUPO,5,-3.433352047,-0.052888728,0.009700098,2.91163892,162,n
FICUPR,5,-5.655117703,0.008796317,0.005339846,2.846989339,164,n
FICUPS,5,-4.904903959,0.018785256,-0.004481465,2.883789828,167,n
FICUPU,5,-2.266239139,-0.043704113,0.055919469,2.280818625,390,n
FICURU,5,-5.199594508,-0.001420077,0.001384677,2.945327421,634,n
FICUSE,5,-3.497301463,-0.074724787,0.029423156,2.777179757,70,n
FICUST,5,-5.574796264,0.002527756,0.021733232,2.778965892,178,n
FICUSU,5,-6.045220104,-0.005321,-0.007656595,3.1624228,146,n
FICUTR,5,-4.116895582,-0.013712736,0.003266517,2.84646799,208,n
FICUVA,5,-5.593489121,0.011834034,0.006077435,2.889431924,306,n
FICUVI,5,-4.802106446,0.007020974,-0.011615073,2.905479459,28,n
FICUWA,5,-5.327379031,-0.016931678,-0.00107553,3.049603286,936,n
FLACRU,5,-4.531310688,0.013114129,-0.010303481,2.804890321,53,n
GANOFA,5,-5.501371863,-0.013750148,0.00179272,2.973070414,337,n
GARCAS,5,-5.331049357,0.025636601,-0.012929212,2.812762269,181,n
GARCDU,5,-6.403690614,0.002336541,-0.000691471,2.955074542,476,n
GARCHU,5,-6.916816744,0.003953934,-0.00086947,3.023212702,239,n
GARCLA,5,-5.641376524,-0.073489893,0.012751121,3.302630711,25,n
GARCLE,5,-6.038879532,-0.034197152,0.015596092,2.954309052,44,n
GARDHA,5,-4.831300101,0.001083332,0.013197581,2.747595815,194,n
GARUFL,5,-6.128163486,0.014540909,0.004628085,2.868811043,112,n
GASTSP,5,-5.292008238,-0.010448185,0.003874526,2.833218862,61,n
GLOCAN,5,-4.388451962,-0.023090794,0.013545156,2.900314577,246,n
GMELMO,5,-4.765217784,0.006850317,0.000537054,2.794118996,510,n
GNETGN,5,-4.16341854,0.004084234,0.008267368,2.797756522,7177,n
GOMPPA,5,-6.798944177,0.007523568,0.001081269,2.935770763,202,n
GONI01,5,-4.480199775,0.019384297,-0.002141122,2.741405253,1320,n
GONIAR,5,-5.060609064,-0.012607299,0.005500041,2.895651135,123,n
GORDAM,5,-3.782481239,-0.02192665,0.005392626,2.766464978,66,n
GRAPPI,5,-1.832654408,-0.00369282,0.002887205,2.533736195,3368,n
GUIOCO,5,-2.147025315,-0.004868429,-0.004541095,2.607543028,160,w
GYMNPA,5,-4.022894619,0.005689324,0.008278833,2.734977784,7088,n
HAPLFL,5,-5.541092981,0.006859463,0.006461184,2.790579661,1758,n
HAPLFU,5,-5.643837201,0.003205757,-0.025077334,3.189842341,31,n
HAPLLA,5,-6.400409508,0.009844455,0.001461011,2.899433276,652,n
HARPAE,5,-2.656487162,0.211558692,-0.107159156,1.784810435,24,n
HARPAR,5,-4.051271873,-0.012884684,-0.003544778,2.820659032,373,n
HARPLO,5,-3.105112595,0.003187092,0.015420006,2.487768961,3956,n
HARPRA,5,-3.400792664,0.026459026,0.007308903,2.453368816,778,n
HELILA,5,-4.276174445,-0.005739545,-0.004386771,2.896234045,97,w
HIBIPA,5,-6.839134769,0.035047673,0.009144824,2.859447462,157,n
HOMAFO,5,-5.30380565,0.006105645,0.003638903,2.830045901,187,n
HOMANO,5,-4.570190877,0.018231428,-0.010681936,3.298806662,17,n
HOPEIR,5,-3.236613706,0.016605479,0.009685121,2.62683524,277,n
HORSBA,5,-4.276928746,0.006168691,0.005368454,2.792806703,3434,w
HORSHE,5,-6.216074149,-0.004288173,0.005728256,2.952572575,685,n
HORSIR,5,-7.174367044,0.001904463,0.003332852,3.029326858,298,n
HORSSU,5,-5.512126387,0.008325607,-0.016202944,3.074740764,111,n
INTSBI,5,-4.787783182,-0.003587488,0.01002465,2.840921994,610,n
IXORAM,5,-3.322552481,-0.004875437,0.007754441,2.811148182,2699,n
IXORTI,5,-4.145014251,0.003924351,-0.007487701,2.940077361,536,n
KIBA01,5,-3.439438253,-0.0364987,0.032324089,3.402751279,160,n
KINGAL,5,-5.422331552,0.00639048,0.005814869,2.788143934,907,n
KINGNO,5,-4.816451427,-0.00247753,0.005500151,2.81120188,684,n
KLEIHO,5,-0.47329889,0.014759264,0.034212048,0.451763122,95,n
LAGEAR,5,-1.770890286,-0.019101853,-0.011187754,1.745734964,53,n
LAGEPI,5,-5.14378957,-0.00766732,-0.008478497,3.046546529,20,n
LEEAIN,5,-2.372873055,-0.028633027,0.010584002,2.827791616,443,n
LEPICO,5,-2.756433288,-0.006145061,0.007140822,2.596703046,575,n
LEPIMI,5,-2.276092779,-0.00417828,-0.023422447,2.81057865,54,n
LEPITE,5,-5.468584603,-0.020061694,0.0269893,2.726733296,20,n
LEPIXY,5,-2.143326184,-0.098243866,0.034710837,2.704449882,91,n
LEUCAU,5,-0.247301154,-0.080944647,0.029284076,0.593854934,729,n
LEUCCA,5,-0.852226869,0.141853503,0.019464914,0.022516733,20,n
LICUBE,5,-5.746336079,-0.008125726,0.005809128,2.713801727,944,n
LITSCO,5,-5.85816815,-0.004958339,0.004858274,2.896906834,871,n
LITSGL,5,-6.665547902,0.001544667,0.005688211,2.919420715,158,n
LITSTI,5,-3.729648199,-0.012047188,0.00674351,2.6453653,5962,n
MACAAL,5,-6.859974911,-0.012549724,0.021630774,3.027351774,373,w
